Filename,Execution Time,Found VC,Solution VC
000200_000000001200.input,0.188682079315186,194,194
001000_000000001200.input,0.158350229263306,199,199
000400_000000001200.input,0.412755966186523,382,382
000200_000000002000.input,0.328556060791016,197,197
000300_000000001800.input,0.403493881225586,296,296
000500_000000001500.input,0.614718198776245,478,478
000600_000000001800.input,0.839879989624023,582,582
000300_000000003000.input,0.571110010147095,296,296
000400_000000002400.input,0.662171840667725,392,392
000700_000000002100.input,1.67934679985046,681,681
000800_000000002400.input,2.08386087417603,784,784
000500_000000003000.input,1.02754402160645,498,498
000400_000000004000.input,1.0325870513916,396,396
000900_000000002700.input,1.98179292678833,872,872
000600_000000003600.input,1.48251008987427,593,593
001000_000000003000.input,2.41539001464844,982,982
000500_000000005000.input,1.6096613407135,498,498
000700_000000004200.input,1.98021721839905,692,692
000800_000000004800.input,2.78051114082336,795,795
000600_000000006000.input,2.37641882896423,595,595
000900_000000005400.input,3.60553812980652,892,892
000700_000000007000.input,3.43126821517944,696,696
001000_000000006000.input,4.63378405570984,989,989
000800_000000008000.input,4.61129808425903,796,796
000900_000000009000.input,6.40617609024048,895,895
001000_000000010000.input,8.11743998527527,997,997
