Filename,no_reds_time,Found VC,Solution VC,reds_time
000085_000000000850.input,0.088534116744995,82,82,0.074633836746216
000090_000000000900.input,0.090711832046509,85,85,0.077763080596924
000095_000000000950.input,0.10364818572998,87,87,0.087878942489624
000200_000000000600.input,0.130262136459351,178,178,0.065050840377808
000600_000000000720.input,0.082612037658691,119,119,0.072435140609741
000100_000000001000.input,0.120465755462646,96,96,0.104328870773315
000700_000000000840.input,0.104426860809326,140,140,0.076576709747315
000800_000000000960.input,0.135961055755615,160,160,0.093215942382813
000900_000000001080.input,0.123291969299316,180,180,0.09650993347168
000300_000000000900.input,0.241075754165649,283,283,0.158528804779053
000200_000000001200.input,0.188682079315186,194,194,0.109769821166992
001000_000000001200.input,0.158350229263306,199,199,0.152410745620728
000400_000000001200.input,0.412755966186523,382,382,2.12865090370178
000200_000000002000.input,0.328556060791016,197,197,0.274754047393799
000300_000000001800.input,0.403493881225586,296,296,0.31345009803772
000500_000000001500.input,0.614718198776245,478,478,4.71722292900085
000600_000000001800.input,0.839879989624023,582,582,1.51755595207214
000300_000000003000.input,0.571110010147095,296,296,0.719435930252075
000400_000000002400.input,0.662171840667725,392,392,0.697665929794312
000700_000000002100.input,1.67934679985046,681,681,4.5088541507721
000800_000000002400.input,2.08386087417603,784,784,5.20978307723999
000500_000000003000.input,1.02754402160645,498,498,1.20015120506287
000400_000000004000.input,1.0325870513916,396,396,1.40805315971375
000900_000000002700.input,1.98179292678833,872,872,7.51412105560303
000600_000000003600.input,1.48251008987427,593,593,1.76777601242065
001000_000000003000.input,2.41539001464844,982,982,8.48348474502564
000500_000000005000.input,1.6096613407135,498,498,2.12136292457581
000700_000000004200.input,1.98021721839905,692,692,2.59833908081055
000800_000000004800.input,2.78051114082336,795,795,3.8349277973175
000600_000000006000.input,2.37641882896423,595,595,3.3454442024231
000900_000000005400.input,3.60553812980652,892,892,6.34171605110168
000700_000000007000.input,3.43126821517944,696,696,4.44140410423279
001000_000000006000.input,4.63378405570984,989,989,12.8468022346497
000800_000000008000.input,4.61129808425903,796,796,5.97864699363709
000900_000000009000.input,6.40617609024048,895,895,7.77059316635132
001000_000000010000.input,8.11743998527527,997,997,10.0232379436493
