Filename,Execution Time,Found VC,Solution VC,Ratio,Difference
000085_000000000510.input,0.009550094604492,76,76,0,0
000065_000000000650.input,0.009365081787109,63,63,0,0
000095_000000000570.input,0.008132934570313,86,86,0,0
000070_000000000700.input,0.008702993392944,67,67,0,0
000100_000000000600.input,0.009859800338745,95,95,0,0
000075_000000000750.input,0.010218620300293,70,70,0,0
000080_000000000800.input,0.01007604598999,77,77,0,0
000500_000000000600.input,0.007347822189331,100,100,0,0
000085_000000000850.input,0.008841514587402,82,82,0,0
000090_000000000900.input,0.011398553848267,85,85,0,0
000095_000000000950.input,0.00857400894165,87,87,0,0
000200_000000000600.input,0.007997512817383,179,178,0.561797752808985,1
000600_000000000720.input,0.007002830505371,119,119,0,0
000100_000000001000.input,0.009442806243896,96,96,0,0
000700_000000000840.input,0.007806777954102,140,140,0,0
000800_000000000960.input,0.012944221496582,160,160,0,0
000900_000000001080.input,0.010263204574585,180,180,0,0
000300_000000000900.input,0.016887426376343,283,283,0,0
000200_000000001200.input,0.014071226119995,194,194,0,0
001000_000000001200.input,0.010472536087036,199,199,0,0
000400_000000001200.input,0.021636962890625,382,382,0,0
000200_000000002000.input,0.022418975830078,197,197,0,0
000300_000000001800.input,0.019521474838257,296,296,0,0
000500_000000001500.input,0.021545886993408,478,478,0,0
000600_000000001800.input,0.029261350631714,582,582,0,0
000300_000000003000.input,0.029567003250122,296,296,0,0
000400_000000002400.input,0.028136730194092,392,392,0,0
000700_000000002100.input,0.04682731628418,681,681,0,0
000800_000000002400.input,0.055856943130493,784,784,0,0
000500_000000003000.input,0.042577028274536,498,498,0,0
000400_000000004000.input,0.048815488815308,396,396,0,0
000900_000000002700.input,0.076068162918091,872,872,0,0
000600_000000003600.input,0.060903549194336,593,593,0,0
001000_000000003000.input,0.090772151947022,982,982,0,0
000500_000000005000.input,0.072014331817627,498,498,0,0
000700_000000004200.input,0.088084697723389,692,692,0,0
000800_000000004800.input,0.104067802429199,795,795,0,0
000600_000000006000.input,0.103397846221924,595,595,0,0
000900_000000005400.input,0.144028186798096,892,892,0,0
000700_000000007000.input,0.142122983932495,696,696,0,0
001000_000000006000.input,0.194108963012695,989,989,0,0
000800_000000008000.input,0.190340280532837,796,796,0,0
000900_000000009000.input,0.255452394485474,895,895,0,0
001000_000000010000.input,0.315338850021362,997,997,0,0
