Filename,Execution Time,Found VC,Solution VC
000200_000000001200.input,0.109769821166992,194,194
001000_000000001200.input,0.152410745620728,199,199
000400_000000001200.input,2.12865090370178,382,382
000200_000000002000.input,0.274754047393799,197,197
000300_000000001800.input,0.31345009803772,296,296
000500_000000001500.input,4.71722292900085,478,478
000600_000000001800.input,1.51755595207214,582,582
000300_000000003000.input,0.719435930252075,296,296
000400_000000002400.input,0.697665929794312,392,392
000700_000000002100.input,4.5088541507721,681,681
000800_000000002400.input,5.20978307723999,784,784
000500_000000003000.input,1.20015120506287,498,498
000400_000000004000.input,1.40805315971375,396,396
000900_000000002700.input,7.51412105560303,872,872
000600_000000003600.input,1.76777601242065,593,593
001000_000000003000.input,8.48348474502564,982,982
000500_000000005000.input,2.12136292457581,498,498
000700_000000004200.input,2.59833908081055,692,692
000800_000000004800.input,3.8349277973175,795,795
000600_000000006000.input,3.3454442024231,595,595
000900_000000005400.input,6.34171605110168,892,892
000700_000000007000.input,4.44140410423279,696,696
001000_000000006000.input,12.8468022346497,989,989
000800_000000008000.input,5.97864699363709,796,796
000900_000000009000.input,7.77059316635132,895,895
001000_000000010000.input,10.0232379436493,997,997
