Filename,no_reds_time,Found VC,Solution VC,reds_time
as20000102.txt.dimacs,3.15315818786621,1052,1052,0.259467124938965
email-Eu-core.txt.dimacs,241.20193195343,579,579,300
ca-GrQc.txt.dimacs,300,2783,2783,0.246713161468506
p2p-Gnutella08.txt.dimacs,300,2054,2054,0.911479234695435
ca-HepTh.txt.dimacs,300,4981,4981,0.453094959259033
p2p-Gnutella09.txt.dimacs,300,2574,2574,0.700569868087769
p2p-Gnutella25.txt.dimacs,300,6017,6017,2.24534821510315
