degree,vertices
1,493
2,140
3,90
4,74
5,56
6,23
7,21
8,15
9,11
10,6
11,4
12,6
13,6
14,4
15,2
16,2
17,5
18,2
20,1
21,2
24,2
25,1
26,2
29,1
31,1
33,2
37,1
38,1
40,1
41,1
42,1
43,1
44,1
46,1
47,1
48,1
50,1
51,2
53,1
58,1
60,2
65,1
68,1
69,2
73,1
80,1
88,1
