Filename,TSMAC,SMAC,TOurs,Ours
vc-exact_183.hgr,0.010401010513306,1,0.010515213012695,1
vc-exact_045.hgr,0.010122060775757,1,0.011073112487793,1
vc-exact_037.hgr,0.011980056762695,1,0.012671947479248,1
vc-exact_039.hgr,0.011988878250122,1,0.01296591758728,1
vc-exact_181.hgr,0.010221004486084,1,0.011888980865479,1
vc-exact_041.hgr,0.01439094543457,1,0.014810085296631,1
vc-exact_043.hgr,0.015400886535645,1,0.017982959747315,1
vc-exact_003.hgr,0.015139818191528,1,0.016089200973511,1
vc-exact_005.hgr,0.015507936477661,1,0.016989946365357,1
vc-exact_015.hgr,0.016183614730835,1,0.015470027923584,1
vc-exact_001.hgr,0.017260074615479,1,0.017421960830689,1
vc-exact_029.hgr,2.75180912017822,2881,5.94289779663086,2613
vc-exact_031.hgr,2.6701979637146,2881,5.22234606742859,2613
vc-exact_059.hgr,56.0535452365875,36606,66.6492509841919,22041
vc-exact_053.hgr,88.7396790981293,55044,86.1908049583435,29148
vc-exact_011.hgr,0.016316175460816,1,0.021365880966187,1
vc-exact_023.hgr,29.0083498954773,24148,5.47359681129456,3131
vc-exact_021.hgr,0.016712903976441,1,0.020726919174194,1
vc-exact_033.hgr,61.0552880764008,44055,45.4702813625336,22212
vc-exact_057.hgr,500,100000,145.280974149704,41121
