Filename,TSMAC,SMAC,TOurs,Ours
karate.graph.dimacs,0.010846853256226,1,0.010727167129517,1
dolphins.graph.dimacs,0.012033700942993,1,0.012809038162232,1
chesapeake.graph.dimacs,0.016601085662842,1,0.015509128570557,1
adjnoun.graph.dimacs,0.024110794067383,1,0.02294397354126,1
polbooks.graph.dimacs,0.01715087890625,1,0.018018960952759,1
football.graph.dimacs,2.44631505012512,1909,2.46837115287781,1210
celegans_metabolic.graph.dimacs,0.064976930618286,1,0.083606004714966,1
jazz.graph.dimacs,0.059487819671631,1,0.067301750183106,1
netscience.graph.dimacs,0.182055234909058,1,0.184563875198364,1
email.graph.dimacs,0.197119951248169,1,0.242737770080566,1
add20.graph.dimacs,0.433656930923462,1,0.446716070175171,1
power.graph.dimacs,1.29935693740845,1,1.51308298110962,1
add32.graph.dimacs,1.41336894035339,1,1.36610198020935,1
polblogs.graph.dimacs,0.416110038757324,1,0.58036994934082,1
PGPgiantcompo.graph.dimacs,5.5318169593811,1,5.82836008071899,1
crack.graph.dimacs,5.75445985794067,1,6.78109383583069,1
as-22july06.graph.dimacs,34.5945212841034,19596,25.1816940307617,1
cond-mat.graph.dimacs,12.4581851959229,1,12.5404317378998,1
memplus.graph.dimacs,14.5099720954895,1,16.1729557514191,1
